Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
0	 0,0489	 0,0647	 675975590968747800000000000000000000000000000000000000000000000000000000000000000000,0000	 3702470794964684700000000000000000000000000000000000000000000000000000000000000000000,0000	 67597559096874780000000000000000000000000000000000000000000000000000000000000000000000,0000	 370247079496468570000000000000000000000000000000000000000000000000000000000000000000000,0000	 52,4333%	 4,0657%	 0,0000%	 0,0000%	 0,0000%	 0,0000%
1	 0,0071	 0,0270	 3250151995813498000000000000000000000000000000000000,0000	 17801815634274884000000000000000000000000000000000000,0000	 325015199581349800000000000000000000000000000000000000,0000	 1780181563427490200000000000000000000000000000000000000,0000	 64,8333%	 6,7215%	 97,3000%	 3,5248%	 2,7000%	 3,5248%
2	 0,0062	 0,0239	 180384546725285472,0000	 988006852580354940,0000	 18038454672528546000,0000	 98800685258035480000,0000	 70,9000%	 6,6920%	 95,1667%	 4,0860%	 4,8333%	 4,0860%
3	 0,0034	 0,0186	 346,7484	 1763,9302	 34560,7286	 176377,4011	 71,6667%	 8,0914%	 95,2333%	 3,8118%	 4,7667%	 3,8118%
4	 0,0034	 0,0186	 1440179904562726400000,0000	 7888061055510447000000,0000	 144017990456261380000000,0000	 788806105551046700000000,0000	 69,5333%	 9,2017%	 92,3667%	 10,3240%	 7,6333%	 10,3240%
5	 0,0000	 0,0000	 137665941036106600000000,0000	 754027413056515300000000,0000	 13766594103610660000000000,0000	 75402741305651550000000000,0000	 67,2667%	 9,8329%	 90,7000%	 15,4856%	 9,3000%	 15,4856%
6	 0,0000	 0,0000	 9,7758	 47,9648	 941,4834	 4793,8565	 63,6000%	 11,0504%	 85,2667%	 16,4420%	 14,7333%	 16,4420%
7	 0,0000	 0,0000	 7939,6226	 42904,9664	 793936,0204	 4290496,9468	 59,9667%	 13,2781%	 86,2000%	 14,5990%	 13,8000%	 14,5990%
8	 0,0000	 0,0000	 43,0678	 232,5237	 4284,1249	 23252,9080	 57,9333%	 12,9453%	 82,1333%	 14,1877%	 17,8667%	 14,1877%
9	 0,0000	 0,0000	 1514069124601224500000000000000000000000000000000000,0000	 8292898131661908000000000000000000000000000000000000,0000	 151406912460122430000000000000000000000000000000000000,0000	 829289813166190700000000000000000000000000000000000000,0000	 56,0667%	 13,7162%	 80,1000%	 16,7833%	 19,9000%	 16,7833%
10	 0,0000	 0,0000	 262898012865104000000,0000	 1439951719695007400000,0000	 26289801286510400000000,0000	 143995171969500880000000,0000	 55,2333%	 14,8966%	 76,0000%	 17,6420%	 24,0000%	 17,6420%
11	 0,0000	 0,0000	 67145677672324970000000000000000000000000000000000,0000	 367772023001033700000000000000000000000000000000000,0000	 6714567767232498000000000000000000000000000000000000,0000	 36777202300103365000000000000000000000000000000000000,0000	 55,9333%	 15,2019%	 75,3000%	 16,9444%	 24,7000%	 16,9444%
12	 0,0000	 0,0000	 22683061,8655	 124240186,3905	 2268306168,4465	 12424018639,4247	 56,0667%	 16,8747%	 74,6000%	 17,0933%	 25,4000%	 17,0933%
13	 0,0000	 0,0000	 2526,0750	 13834,0639	 126302,2822	 691700,8222	 56,3667%	 14,6863%	 76,2333%	 16,7470%	 23,7667%	 16,7470%
14	 0,0000	 0,0000	 16,8187	 90,6083	 1664,1425	 9054,1866	 55,1000%	 14,9467%	 76,7000%	 15,9701%	 23,3000%	 15,9701%
