Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
0	 0,0000	 0,0000	 488944294915550400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2295016078850764000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 48822654418145924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 229507643736477400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 52,0667%	 5,1457%	 0,0000%	 0,0000%	 0,0000%	 0,0000%
1	 0,0000	 0,0000	 215706517550908400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1040895764150377300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 20373322374523540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 103601435589146180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 54,0667%	 7,4414%	 99,6000%	 0,6215%	 0,4000%	 0,6215%
2	 0,0000	 0,0000	 976772994620069500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5350005883139033000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 97677299462006970000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 535000588313902700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 50,0667%	 6,7001%	 98,9333%	 1,5960%	 1,0667%	 1,5960%
3	 0,0000	 0,0000	 19469761328521274000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 106619000787561390000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1946976132851163400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10661900078756325000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 46,7000%	 6,4120%	 97,3000%	 6,4012%	 2,7000%	 6,4012%
4	 0,0000	 0,0000	 14165824425801560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 77589415836691870000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1416582442580156000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 7758941583669181000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 46,0000%	 7,7992%	 97,0333%	 6,9157%	 2,9667%	 6,9157%
5	 0,0000	 0,0000	 308518791920040960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1689827017488255000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 30851879192004103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 168982701748825530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 44,3000%	 8,6668%	 96,1333%	 6,8114%	 3,8667%	 6,8114%
6	 0,0000	 0,0000	 5560497910118556000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 30455226092458737000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 556049791011855600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3045522609245871300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 46,0333%	 9,6579%	 96,7667%	 6,5846%	 3,2333%	 6,5846%
7	 0,0000	 0,0000	 29229070926167675000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 160094214811801600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2922907092616767000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 16009421481180156000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 46,1667%	 12,3067%	 96,0333%	 7,1847%	 3,9667%	 7,1847%
8	 0,0000	 0,0000	 7039066879084817000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 27434525496427060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 703906687908481700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2743452549642704200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 48,7000%	 13,9757%	 95,8000%	 6,8602%	 4,2000%	 6,8602%
9	 0,0000	 0,0000	 41041550615008880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 224746488789643700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 4104155061500888000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 22474648878964363000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 48,5000%	 13,9278%	 94,0667%	 9,5590%	 5,9333%	 9,5590%
