Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev
0	 0,0000	 0,0000	 275631757586658830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 389802169601493900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 27563175737777583000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
1	 0,0000	 0,0000	 188324261489345170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 266330724722129100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 18832426148934517000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
2	 0,0000	 0,0000	 3712192575439710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5249833086327547000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 261169697102196500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
3	 0,0000	 0,0000	 189443935260827980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 267914182555193540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 18944393526082796000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
4	 0,0000	 0,0000	 336303717297429300000000000000000000000000000000000000,0000	 475605278078511750000000000000000000000000000000000000,0000	 33630371729742930000000000000000000000000000000000000000,0000	 0,0000
5	 0,0000	 0,0000	 86201632443002,8000	 121907517699550,9200	 8620163148480541,0000	 0,0000
6	 0,0000	 0,0000	 1807282596510488500000000000000000000000000000000,0000	 2555883559025995000000000000000000000000000000000,0000	 180728259651048850000000000000000000000000000000000,0000	 0,0000
7	 0,0000	 0,0000	 14624807345119604000000000000000000000000000000000000,0000	 20682600894561800000000000000000000000000000000000000,0000	 1462480734511960500000000000000000000000000000000000000,0000	 0,0000
8	 0,0000	 0,0000	 19559524190264802000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 27661344383437116000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1955952419026480200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
9	 0,0000	 0,0000	 159100747670910170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 225002435139900770000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 15910074767091017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
10	 0,0000	 0,0000	 166449351079909020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 235394929745408100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 16644935107990904000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
11	 0,0000	 0,0000	 467721817494541200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 661458537718573800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 46772181749454120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
12	 0,0000	 0,0000	 1640442112520596990,0000	 2319935483814599200,0000	 164044211252059700000,0000	 0,0000
13	 0,0000	 0,0000	 52068678909974980000000000000000000000000000000000000000000000,0000	 73636231889336570000000000000000000000000000000000000000000000,0000	 5206867890997498400000000000000000000000000000000000000000000000,0000	 0,0000
14	 0,0000	 0,0000	 1941201,3361	 2744971,7611	 194118369,4288	 0,0000
15	 0,0000	 0,0000	 443027239539628550000000,0000	 626535130657656600000000,0000	 44302723953962860000000000,0000	 0,0000
16	 0,0000	 0,0000	 5069446706688092000000000,0000	 7169280286325921000000000,0000	 506944670668809200000000000,0000	 0,0000
17	 0,0000	 0,0000	 124,7618	 161,2509	 10110,2285	 0,0000
18	 0,0000	 0,0000	 77,6655	 95,6810	 6609,6128	 0,0000
19	 0,0000	 0,0000	 34,4970	 36,4670	 2296,7399	 0,0000
