Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
0	 451276,8238	 43445,9402	 150544583599964550000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 816254875768469400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 15054458359996453000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 81625487576846940000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 45,4000%	 5,9167%	 0,0000%	 0,0000%	 0,0000%	 0,0000%
1	 466075,5118	 16981,9197	 116462948489265730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 637893840011330700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 11646294848926573000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 63789384001133070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 53,7667%	 6,8213%	 99,5333%	 0,7303%	 0,4667%	 0,7303%
2	 450407,0777	 43085,5049	 102044356414397250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 558919958742623660000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10204435641439725000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 55891995874262370000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 59,1667%	 9,1805%	 97,0667%	 9,5842%	 2,9333%	 9,5842%
3	 455432,5518	 21852,9450	 9217834108380148000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 50488074355620980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 921781976273582200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5048799578129097000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 63,9333%	 9,5373%	 96,9333%	 12,8705%	 3,0667%	 12,8705%
4	 453252,2086	 28746,1810	 19721858109884144000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 108021065626997460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1972185810988414200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10802106562699742000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 68,5000%	 9,7122%	 96,5667%	 14,7337%	 3,4333%	 14,7337%
5	 453090,7352	 28141,5011	 347135463853190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1901339218380457000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 34713546385319005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 190133921838045680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 71,9667%	 11,8044%	 87,5667%	 19,3421%	 12,4333%	 19,3421%
6	 452125,1524	 25900,8486	 8860412002421448000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 48530475225157460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 886041200237827000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 4853047522492096000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 75,7333%	 13,1462%	 93,3000%	 12,6577%	 6,7000%	 12,6577%
7	 453218,7280	 24685,5136	 34959786380870850000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 191482636063648460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3495978638087085000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 19148263606364845000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 75,9000%	 12,7991%	 91,6333%	 16,8921%	 8,3667%	 16,8921%
8	 450186,7090	 30311,8166	 595851515104147700000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3263613157461719500000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 59585151510414770000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 326361315746172050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 74,1333%	 15,3617%	 87,7333%	 20,2466%	 12,2667%	 20,2466%
9	 450011,3848	 29103,3322	 278953804272442840000000000000000000000000000000000000000000,0000	 1527892911018959600000000000000000000000000000000000000000000,0000	 27895380427244080000000000000000000000000000000000000000000000,0000	 152789291101896000000000000000000000000000000000000000000000000,0000	 72,5000%	 16,9518%	 89,4333%	 17,3278%	 10,5667%	 17,3278%
10	 450562,8612	 25240,4258	 1288186508472112700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 7055688089639956000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 128818650847211270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 705568808963995800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 67,6333%	 17,7773%	 83,8000%	 19,9403%	 16,2000%	 19,9403%
11	 449109,8289	 25986,9757	 2821711607413330600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 15455150981544425000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 282171160741333060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1545515098154442500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 63,2000%	 18,0543%	 88,7000%	 17,8773%	 11,3000%	 17,8773%
