Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
0	 0,0730	 0,0856	 19668734539564077000000000000000000000000000000000000000000,0000	 107729945225493110000000000000000000000000000000000000000000,0000	 1966873453956407800000000000000000000000000000000000000000000,0000	 10772994522549314000000000000000000000000000000000000000000000,0000	 54,8333%	 4,9902%	 0,0000%	 0,0000%	 0,0000%	 0,0000%
1	 0,0225	 0,0437	 7767588215251747000000000000000000000000000000000000000000000,0000	 36216926298964210000000000000000000000000000000000000000000000,0000	 776758821525174800000000000000000000000000000000000000000000000,0000	 3621692629896423000000000000000000000000000000000000000000000000,0000	 65,0333%	 6,1166%	 97,1667%	 2,9952%	 2,8333%	 2,9952%
2	 0,0081	 0,0257	 22177902060496378000000000000000000000000000000000000000,0000	 121473249102703430000000000000000000000000000000000000000,0000	 2217790206049637800000000000000000000000000000000000000000,0000	 12147324910270358000000000000000000000000000000000000000000,0000	 71,7333%	 6,7053%	 96,8333%	 3,2172%	 3,1667%	 3,2172%
3	 0,0025	 0,0105	 19405606926119862000000000000000000000000000000000000000000000000000,0000	 106288886555143340000000000000000000000000000000000000000000000000000,0000	 1940560692611986200000000000000000000000000000000000000000000000000000,0000	 10628888655514333000000000000000000000000000000000000000000000000000000,0000	 72,6000%	 7,9680%	 93,8000%	 4,7879%	 6,2000%	 4,7879%
4	 0,0020	 0,0080	 957636049978356200000000000000000000000000000000000000000000,0000	 5245188664532906000000000000000000000000000000000000000000000,0000	 95763604997835600000000000000000000000000000000000000000000000,0000	 524518866453289750000000000000000000000000000000000000000000000,0000	 69,9333%	 8,8782%	 93,1000%	 10,2262%	 6,9000%	 10,2262%
5	 0,0013	 0,0070	 36030901408368770000000000000000000000000000000000000000000000000000000000,0000	 197349374686082320000000000000000000000000000000000000000000000000000000000,0000	 3603090140836877000000000000000000000000000000000000000000000000000000000000,0000	 19734937468608240000000000000000000000000000000000000000000000000000000000000,0000	 67,1333%	 9,7299%	 90,4333%	 13,7080%	 9,5667%	 13,7080%
6	 0,0000	 0,0000	 400723,2289	 2194788,2415	 40072288,3413	 219478818,4499	 63,5667%	 9,6479%	 87,5000%	 15,1675%	 12,5000%	 15,1675%
7	 0,0000	 0,0000	 27140300780168620000000000000000000000000,0000	 148653549547734100000000000000000000000000,0000	 2714030078016861400000000000000000000000000,0000	 14865354954773402000000000000000000000000000,0000	 60,8667%	 10,4146%	 84,3333%	 15,4011%	 15,6667%	 15,4011%
8	 0,0000	 0,0000	 12,8083	 67,8365	 1254,6435	 6784,7812	 60,0667%	 10,7669%	 78,5667%	 15,7429%	 21,4333%	 15,7429%
9	 0,0000	 0,0000	 4342732677995292400000000,0000	 23786126489528422000000000,0000	 434273267799529300000000000,0000	 2378612648952839000000000000,0000	 57,0333%	 11,1370%	 82,9667%	 14,8033%	 17,0333%	 14,8033%
10	 0,0000	 0,0000	 22965116211297970000000000000000000000000000000,0000	 125785121846554730000000000000000000000000000000,0000	 2296511621129797000000000000000000000000000000000,0000	 12578512184655474000000000000000000000000000000000,0000	 56,4333%	 12,7162%	 77,9333%	 17,5537%	 22,0667%	 17,5537%
11	 0,0000	 0,0000	 952,7236	 5215,9487	 95250,0676	 521596,4568	 57,2000%	 14,3465%	 76,2667%	 16,0751%	 23,7333%	 16,0751%
12	 0,0000	 0,0000	 494917,8040	 2097806,3125	 49491754,7728	 209780608,0801	 56,7000%	 14,4965%	 75,4333%	 17,7641%	 24,5667%	 17,7641%
13	 0,0000	 0,0000	 19108081889967330000,0000	 104659274817910520000,0000	 1910808188996732300000,0000	 10465927481791045000000,0000	 57,2667%	 16,2203%	 79,4000%	 18,1727%	 20,6000%	 18,1727%
14	 0,0000	 0,0000	 16,2794	 60,3313	 1608,3918	 6032,4969	 59,3000%	 15,1797%	 78,4000%	 17,4940%	 21,6000%	 17,4940%
15	 0,0000	 0,0000	 4335,0924	 23742,2874	 433489,4278	 2374226,5781	 59,6000%	 16,8126%	 79,9333%	 17,2585%	 20,0667%	 17,2585%
16	 0,0000	 0,0000	 1337,1278	 5461,3624	 133685,2332	 546122,1241	 60,8000%	 16,0052%	 75,7000%	 16,1739%	 24,3000%	 16,1739%
17	 0,0000	 0,0000	 953278013517105600000000000000000000000000000000000000000,0000	 5221318715770334000000000000000000000000000000000000000000,0000	 95327801351710560000000000000000000000000000000000000000000,0000	 522131871577033500000000000000000000000000000000000000000000,0000	 62,5000%	 16,1347%	 82,7333%	 16,5257%	 17,2667%	 16,5257%
